album_number,album,track_number,song,artist,url,release_date
1,KPop Demon Hunters Soundtrack,1,TAKEDOWN (TWICE ver.),KpopDemonHunters,https://youtu.be/7XRcflf_E0c,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,2,How It’s Done,KpopDemonHunters,https://youtu.be/rkYuufTXkL8,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,3,Soda Pop,KpopDemonHunters,https://youtu.be/Z_yvJ2k8QMQ,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,4,Golden,KpopDemonHunters,https://youtu.be/TuzfXgUpboA,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,5,TAKEDOWN,KpopDemonHunters,https://youtu.be/jq-L70UXun8,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,6,Your Idol,KpopDemonHunters,https://youtu.be/TjsNkI4CTiw,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,7,Free,KpopDemonHunters,https://youtu.be/HyQn-jkug-w,2025년 6월 20일
1,KPop Demon Hunters Soundtrack,8,What It Sounds Like,KpopDemonHunters,https://youtu.be/4TZmNObLkAU,2025년 6월 20일
